No,Economy,Code,RI,RIG
31,Botswana,BWA,Sub-Saharan Africa,1
68,Gabon,GAB,Sub-Saharan Africa,1
76,Equatorial Guinea,GNQ,Sub-Saharan Africa,1
137,Mauritius,MUS,Sub-Saharan Africa,1
140,Namibia,NAM,Sub-Saharan Africa,1
216,South Africa,ZAF,Sub-Saharan Africa,1
3,Angola,AGO,Sub-Saharan Africa,1
16,Benin,BEN,Sub-Saharan Africa,1
38,Côte d'Ivoire,CIV,Sub-Saharan Africa,1
39,Cameroon,CMR,Sub-Saharan Africa,1
41,"Congo, Rep.",COG,Sub-Saharan Africa,1
43,Comoros,COM,Sub-Saharan Africa,1
44,Cabo Verde,CPV,Sub-Saharan Africa,1
71,Ghana,GHA,Sub-Saharan Africa,1
101,Kenya,KEN,Sub-Saharan Africa,1
115,Lesotho,LSO,Sub-Saharan Africa,1
136,Mauritania,MRT,Sub-Saharan Africa,1
143,Nigeria,NGA,Sub-Saharan Africa,1
170,Senegal,SEN,Sub-Saharan Africa,1
179,São Tomé and Principe,STP,Sub-Saharan Africa,1
184,Eswatini,SWZ,Sub-Saharan Africa,1
201,Tanzania,TZA,Sub-Saharan Africa,1
217,Zambia,ZMB,Sub-Saharan Africa,1
218,Zimbabwe,ZWE,Sub-Saharan Africa,1
14,Burundi,BDI,Sub-Saharan Africa,1
17,Burkina Faso,BFA,Sub-Saharan Africa,1
32,Central African Republic,CAF,Sub-Saharan Africa,1
40,"Congo, Dem. Rep.",COD,Sub-Saharan Africa,1
59,Eritrea,ERI,Sub-Saharan Africa,1
62,Ethiopia,ETH,Sub-Saharan Africa,1
73,Guinea,GIN,Sub-Saharan Africa,1
74,"Gambia, The",GMB,Sub-Saharan Africa,1
75,Guinea-Bissau,GNB,Sub-Saharan Africa,1
110,Liberia,LBR,Sub-Saharan Africa,1
124,Madagascar,MDG,Sub-Saharan Africa,1
129,Mali,MLI,Sub-Saharan Africa,1
135,Mozambique,MOZ,Sub-Saharan Africa,1
138,Malawi,MWI,Sub-Saharan Africa,1
142,Niger,NER,Sub-Saharan Africa,1
167,Rwanda,RWA,Sub-Saharan Africa,1
169,Sudan,SDN,Sub-Saharan Africa,1
173,Sierra Leone,SLE,Sub-Saharan Africa,1
176,Somalia,SOM,Sub-Saharan Africa,1
178,South Sudan,SSD,Sub-Saharan Africa,1
